text,intent,sentiment
Invoice INV1eedfa16: I was charged extra for my ZENDCloud VM Enterprise plan in USA.,Billing,Angry
Complaint TKT28d2a51c: I am disappointed with ZENDOffice Net 500 in India.,Complaint,Angry
Complaint TKT7052f1bc: I am disappointed with ZENDStorage 1TB in India.,Complaint,Neutral
Invoice INVc17fb837: I was charged extra for my ZENDEnterprise Dedicated plan in USA.,Billing,Neutral
Request TKTd6cb3881: Does Postpaid Gold support premium features?,Product Inquiry,Neutral
Refund ticket TKTbad1d4f4: Why no refund for ZENDStorage 1TB in Singapore?,Refund,Neutral
Complaint ID TKT5b1367f1: Poor experience with ZENDFleet IoT.,Complaint,Neutral
Invoice INV0853f28b: I was charged extra for my ZENDFiber Home 1 Gbps plan in USA.,Billing,Neutral
Invoice INVcbb212cf: My ZENDOffice Net 200 bill in USA seems incorrect.,Billing,Neutral
Ticket TKT77b05f8f: Very frustrated with ZENDFleet IoT service.,Complaint,Neutral
Ticket TKT14dbdfa0: My ZENDEnterprise Ultra service in India is not working.,Technical,Neutral
Invoice INV1770fba7: My ZENDOffice Net 1G bill in Thailand seems incorrect.,Billing,Neutral
Ticket TKT84f967ff: Very frustrated with ZENDEnterprise Ultra service.,Complaint,Angry
Invoice INV62c0f545: My ZENDBiz Connect 100 bill in Singapore seems incorrect.,Billing,Neutral
Ticket TKT6296dd26: Very frustrated with ZENDSmart Lighting service.,Complaint,Angry
Complaint TKTd07cd52a: I am disappointed with Prepaid Plus in Singapore.,Complaint,Angry
Ticket TKTffc86238: My ZENDSmart Lighting service in Singapore is not working.,Technical,Neutral
Refund ticket TKTf10a7749: Why no refund for ZENDStorage 1TB in India?,Refund,Neutral
Invoice INV51dd55ba: My Prepaid Plus bill in Thailand seems incorrect.,Billing,Neutral
Invoice INVfc07d272: I was charged extra for my ZENDBiz Connect 1G plan in Singapore.,Billing,Neutral
Invoice INV066b6f6f: Explain charges for ZENDFiber Home 1 Gbps under individual account.,Billing,Neutral
Request TKTf47c829f: Does ZENDSmart Traffic support premium features?,Product Inquiry,Neutral
Invoice INV48c49fb6: I was charged extra for my Prepaid Basic plan in Thailand.,Billing,Neutral
Ticket TKTb7d00494: Very frustrated with ZENDCloud VM Enterprise service.,Complaint,Angry
Inquiry ID TKT095513d0: Need pricing details of ZENDFiber Home 300 Mbps.,Product Inquiry,Happy
Complaint TKT92653694: I am disappointed with Postpaid Platinum in Singapore.,Complaint,Angry
Ticket TKT5471ffe9: Very frustrated with Prepaid Basic service.,Complaint,Neutral
Invoice INV6afd0138: My ZENDFiber Home 100 Mbps bill in USA seems incorrect.,Billing,Neutral
Refund ticket TKT06160ef6: Why no refund for ZENDCloud VM Basic in India?,Refund,Neutral
Issue ID TKT9d218984: Facing problem with ZENDEnterprise Ultra.,Technical,Angry
Invoice INV330da63e: My ZENDSmart Lighting bill in USA seems incorrect.,Billing,Neutral
Ticket TKTe00dc29d: Very frustrated with Postpaid Platinum service.,Complaint,Angry
